episode_idx,seed,success,num_steps,infer_s,sim_s,prefill_s,infer_per_action_s,infer_s_per_call,action_hz_policy_only,action_hz_infer_plus_sim,skipped_prefill_ratio
0,4300000,False,400,12.217494957149029,45.158468797802925,0.7294199019670486,0.030543737392872573,0.48869979828596116,32.73993575630177,6.971560455321801,0.5
10,4300010,True,72,2.5291703417897224,6.994186416268349,0.19893773645162582,0.03512736585819059,0.5058340683579445,28.467833427562052,7.5603594225405955,0.5
11,4300011,True,144,4.4587788209319115,14.121160663664341,0.29425031691789627,0.030963741812027164,0.4954198689924346,32.29583834120373,7.750294349418284,0.5
12,4300012,True,47,1.5091148242354393,5.270452946424484,0.10077838599681854,0.03210882604756254,0.5030382747451464,31.144084760953522,6.9325953497216855,1.0
13,4300013,True,62,1.9656644463539124,6.77840131521225,0.09743104130029678,0.03170426526377278,0.4914161115884781,31.54149738781869,7.090523069087153,1.0
14,4300014,True,69,2.5984887704253197,6.726065203547478,0.1983906850218773,0.037659257542395935,0.5196977540850639,26.553895781780156,7.399817749202434,0.5
15,4300015,True,74,2.529186859726906,7.960406742990017,0.1975848153233528,0.03417820080712035,0.5058373719453811,29.25841549247583,7.054610769747378,0.5
16,4300016,True,73,2.5757355093955994,7.758384101092815,0.19898560643196106,0.03528404807391232,0.5151471018791198,28.341419269841712,7.063978621450255,0.5
17,4300017,True,74,2.583295114338398,8.043415173888206,0.20251181721687317,0.03490939343700538,0.5166590228676796,28.6455850859889,6.963584965893447,0.5
18,4300018,True,70,2.5757386684417725,7.696243695914745,0.20633511245250702,0.03679626669202532,0.5151477336883545,27.176670078237184,6.814653444392387,0.5
19,4300019,True,71,2.570481278002262,6.222283087670803,0.20694294571876526,0.036203961662003695,0.5140962556004525,27.621286569019514,8.074821187883058,0.5
1,4300001,False,400,12.69401828944683,27.533903405070305,1.2033943310379982,0.03173504572361708,0.5077607315778733,31.510904654402452,9.943342413697648,0.08333333333333333
20,4300021,True,68,2.545193262398243,7.385581083595753,0.19914229214191437,0.037429312682327104,0.5090386524796486,26.71702813480108,6.847401585298403,0.5
