episode_idx,seed,success,num_steps,infer_s,sim_s,prefill_s,infer_per_action_s,infer_s_per_call,action_hz_policy_only,action_hz_infer_plus_sim,skipped_prefill_ratio
0,4300000,False,400,13.26693506538868,17.853263214230537,1.0830032154917717,0.0331673376634717,0.5306774026155472,30.150143799492643,12.85338854225624,0.25
10,4300010,False,400,13.290069475769997,18.935741253197193,1.0438676252961159,0.03322517368942499,0.5316027790307999,30.097660567483594,12.412410764904275,0.25
11,4300011,False,400,13.258604787290096,18.21061210334301,1.0418087095022202,0.03314651196822524,0.5303441914916038,30.169086899961464,12.710834253999534,0.25
12,4300012,False,400,13.338459350168705,17.01903658360243,1.1245921179652214,0.03334614837542176,0.5335383740067482,29.98847089449958,13.176317337656984,0.16666666666666666
13,4300013,False,400,13.251646034419537,19.88095834851265,1.0405789241194725,0.03312911508604884,0.5300658413767815,30.184929401302202,12.072700213269519,0.25
14,4300014,False,400,13.373147815465927,18.292849577963352,1.1398402005434036,0.03343286953866482,0.5349259126186371,29.910684120114453,12.631845920728848,0.16666666666666666
15,4300015,False,400,13.27053014934063,18.93324663490057,1.0456490516662598,0.03317632537335157,0.5308212059736251,30.14197590439706,12.420903382852241,0.25
16,4300016,False,400,13.224889375269413,18.885732628405094,1.0267299935221672,0.033062223438173534,0.5289955750107765,30.2459996941828,12.456937145416457,0.25
17,4300017,True,178,6.574399687349796,10.142691783607006,0.4163028299808502,0.03693482970421234,0.547866640612483,27.07471532990315,10.647785250756433,0.4
18,4300019,False,400,13.177323371171951,20.335684187710285,1.0344495996832848,0.03294330842792988,0.527092934846878,30.35517826595047,11.935664064086204,0.25
19,4300020,False,400,13.038829520344734,23.649913869798183,0.7246300131082535,0.03259707380086183,0.5215531808137893,30.677600268940733,10.902526580059078,0.5
1,4300001,False,400,13.263056434690952,17.495420567691326,1.140064038336277,0.033157641086727384,0.5305222573876381,30.15896086770444,13.004545054978488,0.16666666666666666
20,4300022,False,400,13.439608089625835,17.74772433936596,1.1434515789151192,0.03359902022406459,0.5375843235850334,29.762772644297858,12.825720215434629,0.16666666666666666
21,4300023,False,400,13.414438217878342,17.121840059757233,1.1573414206504822,0.03353609554469585,0.5365775287151336,29.81861733627373,13.09917326411567,0.16666666666666666
22,4300024,False,400,12.943668186664581,17.874394312500954,0.9224004596471786,0.03235917046666145,0.5177467274665832,30.903140765931123,12.979401284906565,0.3333333333333333
23,4300026,False,400,12.970523834228516,17.270075365900993,0.7286449670791626,0.032426309585571286,0.5188209533691406,30.839155388961352,13.227251131924891,0.5
24,4300027,False,400,13.150822952389717,20.225921481847763,0.9313259869813919,0.032877057380974295,0.5260329180955887,30.416347436820562,11.984392330058549,0.3333333333333333
25,4300028,False,400,13.391566134989262,18.409788101911545,1.1452488228678703,0.03347891533747315,0.5356626453995704,29.869545949139336,12.578080701225568,0.16666666666666666
26,4300029,False,400,13.224303476512432,19.55048120766878,1.040222056210041,0.033060758691281084,0.5289721390604973,30.247339734031094,12.20450428139839,0.25
27,4300030,False,400,13.223560713231564,19.831956684589386,1.0304480642080307,0.03305890178307891,0.5289424285292625,30.249038717669887,12.100854304775407,0.25
28,4300033,False,400,13.41511683166027,18.328039206564426,1.1518827080726624,0.033537792079150676,0.5366046732664108,29.817108939072543,12.60114147182861,0.16666666666666666
29,4300034,False,400,13.410886280238628,19.0618512108922,1.1428725272417068,0.03352721570059657,0.5364354512095452,29.826514940284955,12.318025239148707,0.16666666666666666
2,4300002,False,400,13.331221796572208,17.67978911846876,1.1401861235499382,0.033328054491430524,0.5332488718628884,30.00475171021834,12.898644326554084,0.16666666666666666
30,4300035,False,400,13.287109024822712,19.04162497073412,1.0408631637692451,0.03321777256205678,0.5314843609929085,30.10436651439587,12.37289403460633,0.25
31,4300036,False,400,13.167050659656525,17.95264857262373,1.0286458134651184,0.03291762664914131,0.5266820263862609,30.37886086559907,12.853594664086042,0.25
32,4300037,False,400,13.37406773865223,18.13611400872469,1.0431525856256485,0.03343516934663057,0.5349627095460892,29.908626740686,12.694309515790026,0.25
33,4300038,False,400,13.426602847874165,19.643431678414345,1.0431151241064072,0.03356650711968541,0.5370641139149666,29.79160138510629,12.09554225539215,0.25
34,4300039,False,400,13.444612719118595,19.014491975307465,1.0581542029976845,0.03361153179779649,0.5377845087647438,29.751693734635392,12.323198799401537,0.25
35,4300040,False,400,13.289111688733101,17.70110696554184,0.9452249780297279,0.033222779221832754,0.5315644675493241,30.099829798189727,12.907298411230219,0.3333333333333333
36,4300042,True,165,5.761329866945744,8.627184838056564,0.408285029232502,0.034917150708762085,0.5237572606314312,28.63922111918086,11.467479679652836,0.4
37,4300043,False,400,13.516306780278683,16.943557024002075,1.1538502424955368,0.03379076695069671,0.5406522712111473,29.59388289289426,13.132035079677046,0.16666666666666666
