episode_idx,seed,success,num_steps,infer_s,sim_s,prefill_s,infer_per_action_s,infer_s_per_call,action_hz_policy_only,action_hz_infer_plus_sim,skipped_prefill_ratio
0,4300000,False,400,12.30779717862606,17.62876335531473,1.2862703502178192,0.03076949294656515,0.4923118871450424,32.49972307755015,13.361588401129017,0.0
10,4300010,False,400,12.39543641358614,17.587259903550148,1.2553605884313583,0.03098859103396535,0.4958174565434456,32.26994085997457,13.341028297424481,0.0
11,4300011,True,141,4.5220062136650085,8.926463760435581,0.4812336787581444,0.032070966054361764,0.5024451348516676,31.180850564493568,10.4844640521592,0.0
12,4300012,True,136,4.3825894221663475,8.493574321269989,0.4689198136329651,0.03222492222181138,0.48695438024070525,31.03188250127573,10.562152106004897,0.0
13,4300014,False,400,12.291604146361351,18.69785576313734,1.2510894909501076,0.030729010365903378,0.49166416585445405,32.542538405649104,12.907614433041298,0.0
14,4300015,False,400,12.24088155478239,19.225175611674786,1.249959722161293,0.030602203886955975,0.4896352621912956,32.677385056775094,12.712110636676783,0.0
15,4300017,False,400,12.311169251799583,18.989817582070827,1.254936657845974,0.03077792312949896,0.49244677007198334,32.4908212874687,12.779149811569678,0.0
16,4300018,True,140,4.409721881151199,9.005203798413277,0.48073987662792206,0.03149801343679428,0.4899690979056888,31.748033951622293,10.436136833263857,0.0
17,4300019,True,140,4.379061974585056,8.86673142015934,0.4725490063428879,0.03127901410417897,0.48656244162056184,31.970317116433566,10.56939330305035,0.0
18,4300020,False,400,12.141830414533615,18.51932492852211,1.2295840233564377,0.030354576036334038,0.4856732165813446,32.94396201755586,13.045822817977855,0.0
19,4300021,True,143,4.511990562081337,9.41141775995493,0.4860095754265785,0.031552381553016345,0.5013322846757041,31.69332870546509,10.270473772838875,0.0
1,4300001,True,141,4.504760324954987,9.184124581515789,0.48037009686231613,0.0319486547869148,0.5005289249949985,31.300222393387585,10.300327671931035,0.0
20,4300022,False,400,12.290234312415123,19.331172361969948,1.2538642510771751,0.030725585781037807,0.4916093724966049,32.54616550279561,12.649658635332631,0.0
21,4300023,False,400,12.604245826601982,21.913902550935745,1.317607693374157,0.03151061456650495,0.5041698330640793,31.73533787763621,11.588107091523346,0.0
22,4300024,True,141,4.482504226267338,8.90790843218565,0.4785686805844307,0.03179081011537119,0.4980560251408153,31.455631245977262,10.529921937169778,0.0
23,4300025,False,400,12.368331618607044,18.41964253038168,1.2515717819333076,0.03092082904651761,0.49473326474428175,32.34065938191986,12.992085743099748,0.0
24,4300026,False,400,12.147442564368248,18.828806459903717,1.233416847884655,0.03036860641092062,0.4858977025747299,32.92874182202835,12.913119328507891,0.0
25,4300027,True,141,4.523645006120205,9.924318373203278,0.4801328554749489,0.03208258869588798,0.502627222902245,31.169554597948324,9.759160948717899,0.0
26,4300028,False,400,12.346734561026096,22.875906594097614,1.2510560378432274,0.03086683640256524,0.49386938244104384,32.397230054871876,11.35633180482871,0.0
27,4300029,False,400,12.297124594449997,17.828647799789906,1.2501476481556892,0.030742811486124993,0.4918849837779999,32.52792934866498,13.27766786409369,0.0
28,4300030,True,138,4.40933321416378,8.382854454219341,0.47288647294044495,0.03195168995770855,0.48992591268486446,31.2972491071241,10.787834229564787,0.0
29,4300031,True,137,4.411088302731514,8.764412328600883,0.4737424999475479,0.03219772483745631,0.49012092252572376,31.05809509983384,10.398086860866828,0.0
2,4300002,False,400,12.13101151585579,18.339860662817955,1.230559729039669,0.03032752878963947,0.48524046063423154,32.973342699179014,13.127290799373835,0.0
30,4300032,True,135,4.43668307363987,8.398338571190834,0.4712703227996826,0.03286431906399904,0.4929647859599855,30.42813691202999,10.518096792954857,0.0
31,4300033,True,141,4.430718436837196,8.951772049069405,0.47612935304641724,0.03142353501302976,0.4923020485374663,31.823281485846522,10.53615544494429,0.0
32,4300034,True,143,4.548713713884354,9.681057430803776,0.4905107840895653,0.03180918681038009,0.5054126348760393,31.437458805884223,10.049353467879268,0.0
33,4300035,False,400,12.3851577937603,19.53687769919634,1.2612782791256905,0.03096289448440075,0.495406311750412,32.29672214604499,12.530529266789928,0.0
34,4300036,True,138,4.398101828992367,8.610711969435215,0.472115620970726,0.03187030310864034,0.4886779809991519,31.377172554373686,10.608192425406267,0.0
35,4300037,True,142,4.467881143093109,9.185173377394676,0.4782753139734268,0.0314639517119233,0.49643123812145656,31.78240321354958,10.400603014286267,0.0
36,4300039,False,400,12.364611007273197,21.093788467347622,1.2563146948814392,0.030911527518182994,0.4945844402909279,32.350390947576855,11.95514448631686,0.0
37,4300040,True,140,4.396511025726795,8.888751447200775,0.47039974480867386,0.03140365018376282,0.488501225080755,31.843432026161324,10.537992778485865,0.0
38,4300041,False,400,12.37734930217266,19.000829987227917,1.2801301777362823,0.03094337325543165,0.4950939720869064,32.317097161488846,12.747712233740675,0.0
39,4300042,False,400,12.321788184344769,22.624586820602417,1.2572258114814758,0.030804470460861922,0.49287152737379075,32.462820656843704,11.446108500334411,0.0
