task_name,mode,action_horizon,chunks_per_video_prefill,num_episodes,num_success,success_rate,wall_time,returncode,skipped_existing,gpu
place_bread_basket,baseline,64,2,40,29,0.725,0.0,0,True,-1
place_object_basket,baseline,64,2,40,8,0.2,0.0,0,True,-1
click_bell,baseline,64,2,40,26,0.65,4984.129704661667,0,False,4
click_bell,skip_phase,64,2,40,29,0.725,4984.36027546227,0,False,5
place_mouse_pad,baseline,64,2,40,19,0.475,7386.890081182122,0,False,2
place_mouse_pad,skip_phase,64,2,40,8,0.2,9248.69538204372,0,False,3
move_stapler_pad,skip_phase,64,2,40,3,0.075,9699.510843463242,0,False,7
move_stapler_pad,baseline,64,2,40,1,0.025,9880.337771736085,0,False,6
place_bread_basket,skip_phase,64,2,40,23,0.575,12613.32170765847,0,False,0
handover_mic,baseline,64,2,40,11,0.275,13213.026958160102,0,False,4
place_object_basket,skip_phase,64,2,40,7,0.175,18588.97377243638,0,False,1
handover_mic,skip_phase,64,2,40,8,0.2,13934.903024367988,0,False,5
stack_blocks_two,baseline,64,2,40,23,0.575,12914.456149846315,0,False,2
stack_blocks_two,skip_phase,64,2,40,22,0.55,13334.738442055881,0,False,3
hanging_mug,baseline,64,2,40,15,0.375,17868.48024006933,0,False,7
hanging_mug,skip_phase,64,2,40,15,0.375,19309.64075347781,0,False,6
stack_blocks_three,baseline,64,2,40,7,0.175,26455.872070759535,0,False,0
stack_blocks_three,skip_phase,64,2,40,4,0.1,27687.215868383646,0,False,4
