task_name,tag,action_horizon,chunks_per_video_prefill,num_episodes,num_success,success_rate,wall_time,return_code
move_stapler_pad,ah64_cpp1,64,1,5,2,0.4000,1503.48,0
move_stapler_pad,ah64_cpp2,64,2,5,3,0.6000,1260.88,0
move_stapler_pad,ah64_cpp4,64,4,5,2,0.4000,1455.93,0
turn_switch,ah64_cpp1,64,1,5,3,0.6000,1007.17,0
turn_switch,ah64_cpp2,64,2,5,4,0.8000,1026.09,0
turn_switch,ah64_cpp4,64,4,5,4,0.8000,789.47,0
