episode_idx,seed,success,num_steps,infer_s,sim_s,prefill_s,infer_per_action_s,infer_s_per_call,action_hz_policy_only,action_hz_infer_plus_sim,skipped_prefill_ratio
0,4300000,True,336,10.176853895187378,18.021025888621807,0.9005006328225136,0.030288255640438626,0.484612090247018,33.01609745610026,11.915789505313317,0.2
10,4300013,True,347,10.779307037591934,18.70282167941332,0.8743611127138138,0.031064285410927765,0.4899685017087243,32.191308661110256,11.769842107766488,0.2
11,4300014,True,336,10.331042677164078,17.24154122173786,0.8822232633829117,0.03074715082489309,0.4919544131982894,32.52333868900769,12.186017865862075,0.2
12,4300015,False,800,23.71117441356182,44.596921876072884,1.5361316427588463,0.029638968016952275,0.4742234882712364,33.73936634460555,11.711642447300857,0.375
13,4300016,False,800,24.482166446745396,33.705814339220524,2.3125380128622055,0.030602708058431745,0.4896433289349079,32.67684670554759,13.748543757561496,0.041666666666666664
14,4300017,True,342,10.630271211266518,18.731676191091537,0.865229144692421,0.031082664360428416,0.4831941459666599,32.17227417843587,11.647728786971875,0.2
15,4300018,True,378,11.677513360977173,19.72341798990965,0.8688718229532242,0.0308928924893576,0.4865630567073822,32.3699051600459,12.037859507288932,0.2727272727272727
16,4300019,False,800,24.684927389025688,34.822183825075626,2.3280390053987503,0.03085615923628211,0.49369854778051375,32.40844047836496,13.443771402743293,0.041666666666666664
17,4300020,True,325,10.249199897050858,17.303532049059868,0.8703280836343765,0.03153599968323341,0.48805713795480277,31.709792302276853,11.7955635265372,0.2
18,4300022,False,800,23.69479051977396,46.60270360857248,1.5379153341054916,0.02961848814971745,0.4738958103954792,33.76269561583074,11.380206505503468,0.375
19,4300023,False,800,24.38162339478731,35.63843619823456,2.1340859159827232,0.03047702924348414,0.4876324678957462,32.81159695752813,13.328877135820282,0.125
1,4300001,True,384,11.39863832294941,19.702445924282074,0.8550030663609505,0.029683953966014087,0.4749432634562254,33.68823442944715,12.346836430121641,0.2727272727272727
20,4300024,True,368,11.241548746824265,19.300316117703915,0.8889168873429298,0.030547686812022457,0.4887629889923593,32.735702907836426,12.049035041976143,0.2727272727272727
21,4300026,True,323,10.236628986895084,17.008041217923164,0.8679761663079262,0.03169234980462875,0.4874585231854802,31.553356130568382,11.855529818190902,0.2
22,4300027,True,306,9.789767034351826,15.95014064013958,0.8771820664405823,0.031992702726639954,0.4894883517175913,31.25712786895343,11.888154529134155,0.1111111111111111
23,4300028,True,335,10.072125643491745,17.062637574970722,0.850613035261631,0.030066046696990284,0.47962503064246403,33.26010932125983,12.345786742375784,0.2
24,4300029,True,384,11.479466177523136,19.861014999449253,0.8620342910289764,0.029894443170633167,0.4783110907301307,33.45103283216029,12.252524070439172,0.2727272727272727
25,4300030,False,800,24.664138682186604,35.420716889202595,2.1480367705225945,0.030830173352733255,0.4932827736437321,32.435756638758726,13.3145031704285,0.125
26,4300031,False,800,24.456129670143127,34.26992453634739,2.2225234657526016,0.03057016208767891,0.48912259340286257,32.71163552001718,13.622573673808693,0.08333333333333333
27,4300032,True,350,11.189398676156998,19.545000061392784,0.9055646806955338,0.03196971050330571,0.508609030734409,31.279607611604703,11.387891560487473,0.2
28,4300034,False,800,24.58355802297592,35.41459859907627,2.223650246858597,0.0307294475287199,0.4916711604595184,32.54207544946569,13.333742985463019,0.08333333333333333
29,4300035,False,800,23.844256825745106,43.03862178325653,1.551000915467739,0.029805321032181382,0.4768851365149021,33.5510561661215,11.961207660884524,0.375
2,4300002,False,800,24.39223114401102,35.05003034323454,2.224822774529457,0.030490288930013775,0.4878446228802204,32.79732777525858,13.458438154673082,0.08333333333333333
30,4300036,False,800,23.760090202093124,41.51347415149212,1.6344860345125198,0.029700112752616404,0.47520180404186246,33.66990584612868,12.25611023271872,0.3333333333333333
31,4300037,True,322,10.287478372454643,16.673081286251545,0.96320029348135,0.03194869059768523,0.4898799224978402,31.300187309474673,11.943372247319752,0.1
32,4300038,False,800,24.54199604690075,34.56807868927717,2.226144440472126,0.030677495058625937,0.490839920938015,32.59718559448741,13.534071874728411,0.08333333333333333
33,4300039,False,800,24.32530941069126,37.703329496085644,2.0236975625157356,0.030406636763364078,0.48650618821382524,32.887557008766784,12.897268327978683,0.16666666666666666
34,4300040,True,337,10.616514630615711,17.631387822329998,0.8654457777738571,0.03150301077334039,0.4825688468461687,31.742997746940937,11.930089342433899,0.2
35,4300041,False,800,24.498267337679863,35.9870558232069,2.2279111966490746,0.03062283417209983,0.48996534675359726,32.655370642051494,13.226349107403387,0.08333333333333333
36,4300042,True,329,10.249317608773708,17.8094125315547,0.8706813901662827,0.031152941060102458,0.4880627432749385,32.099698005101004,11.725405902355256,0.2
37,4300043,True,319,9.820190660655499,16.90338860452175,0.7819689512252808,0.030784296741866765,0.49100953303277495,32.48409435450887,11.937023736026259,0.2222222222222222
38,4300045,True,372,11.76587863266468,19.468000516295433,0.9740568622946739,0.03162870600178678,0.490244943027695,31.616848313159185,11.910144053060575,0.18181818181818182
39,4300046,True,296,9.437250204384327,14.929115734994411,0.8715614378452301,0.031882602041838945,0.49669737917812246,31.36506859407895,12.14789274430256,0.1111111111111111
3,4300003,True,351,10.605160042643547,18.257098250091076,0.8653986677527428,0.03021413117562264,0.48205272921107034,33.09709599747882,12.161210548391349,0.2
4,4300006,False,800,24.32479987293482,35.32085020840168,2.2099332436919212,0.030405999841168523,0.48649599745869637,32.88824591277013,13.412545573886286,0.08333333333333333
5,4300007,False,800,23.885603852570057,45.54261991381645,1.5426524728536606,0.02985700481571257,0.4777120770514011,33.492977817846594,11.522691444503264,0.375
6,4300008,True,338,10.755083121359348,17.87813425809145,0.8668761476874352,0.03181977254840044,0.4888674146072431,31.42700025523185,11.804471552071282,0.2
7,4300010,False,800,24.52238043397665,36.41369532048702,2.2165315598249435,0.030652975542470814,0.490447608679533,32.62326029701305,13.128511970864789,0.08333333333333333
8,4300011,False,800,24.08470030874014,36.06209110468626,2.017830803990364,0.030105875385925174,0.4816940061748028,33.21610772585311,13.300792630833808,0.16666666666666666
9,4300012,True,339,10.778932482004166,16.896365836262703,0.8687969446182251,0.03179626100886185,0.4899514764547348,31.450238747294623,12.249190455021965,0.2
